CMDLINE c:\users\hinjeniero\appdata\local\programs\python\python37-32\python.exe .\main.py
MEM 439.078125 1560014934.8490
MEM 439.695312 1560014934.9500
MEM 440.246094 1560014935.0500
MEM 440.324219 1560014935.1500
MEM 440.398438 1560014935.2500
MEM 440.554688 1560014935.3510
MEM 440.675781 1560014935.4510
MEM 440.914062 1560014935.5512
MEM 441.121094 1560014935.6512
MEM 441.343750 1560014935.7512
MEM 441.554688 1560014935.8512
MEM 441.781250 1560014935.9512
MEM 441.996094 1560014936.0522
MEM 442.253906 1560014936.1532
MEM 442.460938 1560014936.2542
MEM 442.652344 1560014936.3542
MEM 442.820312 1560014936.4552
MEM 443.000000 1560014936.5562
MEM 443.117188 1560014936.6572
MEM 443.179688 1560014936.7582
MEM 443.402344 1560014936.8582
MEM 443.699219 1560014936.9592
MEM 443.699219 1560014937.0593
MEM 445.722656 1560014937.1593
MEM 445.765625 1560014937.2602
MEM 473.718750 1560014937.3609
MEM 473.718750 1560014937.4618
MEM 490.222656 1560014937.5619
MEM 481.875000 1560014937.6624
MEM 484.246094 1560014937.7624
MEM 485.125000 1560014937.8627
MEM 484.097656 1560014937.9637
MEM 487.902344 1560014938.0642
MEM 491.363281 1560014938.1647
MEM 493.019531 1560014938.2657
MEM 494.164062 1560014938.3657
MEM 495.449219 1560014938.4658
MEM 497.253906 1560014938.5668
MEM 497.921875 1560014938.6678
MEM 499.761719 1560014938.7678
MEM 501.906250 1560014938.8678
MEM 504.246094 1560014938.9678
MEM 506.761719 1560014939.0679
MEM 519.898438 1560014939.1679
MEM 527.921875 1560014939.2689
MEM 533.039062 1560014939.3690
MEM 546.753906 1560014939.4699
MEM 550.402344 1560014939.5705
MEM 551.339844 1560014939.6710
MEM 553.003906 1560014939.7710
MEM 554.894531 1560014939.8710
MEM 556.183594 1560014939.9720
MEM 555.984375 1560014940.0720
MEM 558.703125 1560014940.1721
MEM 556.476562 1560014940.2721
MEM 558.472656 1560014940.3721
MEM 560.398438 1560014940.4721
MEM 559.863281 1560014940.5731
MEM 561.148438 1560014940.6741
MEM 562.371094 1560014940.7751
MEM 563.058594 1560014940.8761
MEM 563.421875 1560014940.9761
MEM 564.496094 1560014941.0761
MEM 567.437500 1560014941.1771
MEM 568.359375 1560014941.2777
MEM 568.894531 1560014941.3777
MEM 570.082031 1560014941.4787
MEM 572.773438 1560014941.5797
MEM 573.660156 1560014941.6807
MEM 574.500000 1560014941.7807
MEM 576.425781 1560014941.8807
MEM 578.226562 1560014941.9807
MEM 579.335938 1560014942.0813
MEM 580.968750 1560014942.1814
MEM 582.531250 1560014942.2820
MEM 583.707031 1560014942.3821
MEM 585.406250 1560014942.4830
MEM 586.882812 1560014942.5830
MEM 589.988281 1560014942.6830
MEM 589.648438 1560014942.7840
MEM 591.800781 1560014942.8840
MEM 593.917969 1560014942.9850
MEM 595.269531 1560014943.0851
MEM 596.546875 1560014943.1860
MEM 599.609375 1560014943.2860
MEM 600.492188 1560014943.3861
MEM 600.363281 1560014943.4861
MEM 602.691406 1560014943.5870
MEM 604.058594 1560014943.6876
MEM 606.914062 1560014943.7886
MEM 607.011719 1560014943.8886
MEM 608.308594 1560014943.9886
MEM 609.781250 1560014944.0896
MEM 611.343750 1560014944.1906
MEM 613.597656 1560014944.2906
MEM 614.660156 1560014944.3916
MEM 616.578125 1560014944.4916
MEM 619.003906 1560014944.5926
MEM 619.671875 1560014944.6936
MEM 621.718750 1560014944.7936
MEM 622.644531 1560014944.8946
MEM 624.800781 1560014944.9946
MEM 626.988281 1560014945.0946
MEM 627.316406 1560014945.1956
MEM 629.187500 1560014945.2962
MEM 630.937500 1560014945.3962
MEM 632.027344 1560014945.4972
MEM 633.531250 1560014945.5972
