[2018-11-24 21:08:03,780]: Pygame parameters:
 

[2018-11-24 21:09:40,733]: Pygame parameters:
%s 

[2018-11-24 21:09:40,734]: FPS: 60
%s 

[2018-11-24 21:10:40,601]: ----Pygame parameters----%s 

[2018-11-24 21:10:40,601]: FPS: 60%s 

[2018-11-24 21:10:40,602]: RESOLUTION: (1280, 720)%s 

[2018-11-24 21:23:28,261]: ----Pygame parameters---- 

[2018-11-24 21:24:44,967]: ----Pygame parameters---- 

[2018-11-24 21:24:44,968]: FPS: 60 

[2018-11-24 21:24:44,968]: RESOLUTION: (1280, 720) 

[2018-11-24 21:26:53,586]: ----Pygame parameters---- 

[2018-11-24 21:26:53,586]: FPS: 60 

[2018-11-24 21:26:53,586]: RESOLUTION: (1280, 720) 

[2018-11-24 21:27:21,608]: ----Pygame parameters---- 

[2018-11-24 21:27:21,608]: FPS: 60 
[2018-11-24 21:27:23,496]: Received event <Event(4-MouseMotion {pos: (815, 334), rel: (-6, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,503]: Received event <Event(4-MouseMotion {pos: (811, 331), rel: (-4, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,511]: Received event <Event(4-MouseMotion {pos: (804, 327), rel: (-7, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,518]: Received event <Event(4-MouseMotion {pos: (799, 324), rel: (-5, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,525]: Received event <Event(4-MouseMotion {pos: (792, 319), rel: (-7, -5), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,532]: Received event <Event(4-MouseMotion {pos: (785, 315), rel: (-7, -4), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,539]: Received event <Event(4-MouseMotion {pos: (780, 312), rel: (-5, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,547]: Received event <Event(4-MouseMotion {pos: (776, 309), rel: (-4, -3), buttons: (0, 0, 0)})>" 

[2018-11-24 21:27:23,554]: Received event <Event(4-MouseMotion {pos: (771, 306), rel: (-5, -3), buttons: (0, 0, 0)})>" 

